"","label","spotify_id","title","artist","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo"
85,"sentimental","0z4zZNViQ01puQOlAFGGUy","Dollar","Electric Guest",0,0,0.47,0.799,0.58,0.000183,0.154,-8.152000000000001,0.0891,0.601,95.039
86,"serious","0s3oOo43gTBnU1lUOfXnd9","Focus","EVAN GIIA",4,1,0.263,0.623,0.632,1.7e-05,0.34,-7.957999999999999,0.0886,0.284,102.074
87,"aggressive","0guJsHG67oNPEtZCIHfMxm","Alright (frick it!)","Judah & the Lion",7,1,0.00594,0.613,0.873,0.0248,0.0693,-4.0889999999999995,0.0561,0.139,128.065
88,"somber","6pBxnT5MpmA4apvkJkKVii","Our Remains","Beta Radio",1,0,0.867,0.32899999999999996,0.319,0.0399,0.114,-12.078,0.0335,0.29,198.11599999999999
89,"peaceful","6vzLbfskWigBsCzNdB0kfE","Boys Ain't Shit","SAYGRACE",1,0,0.435,0.826,0.616,0.0063100000000000005,0.33399999999999996,-4.729,0.13699999999999998,0.8420000000000001,102.99600000000001
90,"sensual","51ODNNDZm21HU7wI7cccRr","Latch","Disclosure",1,1,0.0159,0.503,0.727,9.449999999999999e-05,0.0895,-5.456,0.16699999999999998,0.521,121.985
91,"somber","38ovefcipRlByRd5UF9PWp","The Way I Am","Gavin Haley",7,1,0.772,0.5329999999999999,0.5,0.0,0.11199999999999999,-8.273,0.0481,0.14,99.77
92,"somber","1LdV2QpLGtA3E6WNMwAPGE","Drift","Benji Lewis",0,0,0.561,0.6779999999999999,0.374,0.0249,0.10300000000000001,-9.387,0.0475,0.0519,82.05799999999999
93,"serious","2XtL4VAqehOQulLpf1sFVF","Keeping It In The Dark - From 13 Reasons Why - Season 3 Soundtrack","Daya",8,1,0.0165,0.539,0.769,0.0,0.131,-6.297000000000001,0.302,0.31,185.93400000000003
94,"sensual","1M6VHCglQ2PLWeAsyhgEUH","detonate","Charli XCX",5,1,0.45,0.648,0.74,0.000145,0.10400000000000001,-6.188,0.0364,0.68,140.026
95,"sensual","6113aOfHIC0vbZVDZ6PpRV","Days","The Drums",2,1,0.369,0.586,0.721,0.16,0.141,-7.742999999999999,0.0289,0.657,84.98700000000001
96,"serious","7ycXmXGCFOexpvlIaAgiga","Things You Do For Love","Thomas Rhett",0,1,0.0012900000000000001,0.551,0.8029999999999999,1.12e-05,0.0869,-5.678,0.0304,0.436,114.95200000000001
97,"aggressive","5fvniAXJaO2HTdl9jhZVfk","Great Escape","West Coast Massive",2,1,0.055,0.42100000000000004,0.879,0.0,0.254,-3.9389999999999996,0.0583,0.294,103.32600000000001
98,"serious","7nIPkUEV3HYE7yzXHvGOVB","vicious (feat. Lil Mosey)","Tate McRae",5,0,0.0354,0.6970000000000001,0.74,0.0,0.135,-5.327000000000001,0.0558,0.44,156.127
99,"aggressive","4o7IJJZdZG9blmt9Czt1lI","Let's Go Out","Berly",1,0,0.0474,0.506,0.9279999999999999,6.75e-05,0.0611,-5.164,0.285,0.272,199.86900000000003
100,"sentimental","4IR1LDAWA3Rly689SrjHrF","Coming Down from Love","Bobby Caldwell",1,0,0.469,0.49200000000000005,0.42700000000000005,8.23e-05,0.0787,-12.935,0.0394,0.735,100.167
101,"sensual","7Lw5FXm8nhQPvezIpA6jK5","Lost","End of the World",7,1,0.00935,0.713,0.7290000000000001,0.000106,0.0804,-6.027,0.0308,0.7340000000000001,121.975
102,"somber","7F9zSVVD38CDt8ZMpe6fFg","Get Up","T-Pain",2,1,0.0844,0.722,0.43799999999999994,0.00011200000000000001,0.10400000000000001,-8.386000000000001,0.0593,0.132,102.979
103,"sensual","5zrQA1pPrlZfhy50ua01ez","Rip Van Winkle","Shannon and The Clams",6,1,0.006809999999999999,0.242,0.779,1.03e-06,0.33799999999999997,-4.999,0.0524,0.7659999999999999,173.713
104,"sentimental","476JcJ3TpAuCOlGdCmomGm","New Soul","Yael Naim",0,1,0.733,0.769,0.371,3.73e-05,0.106,-8.522,0.0326,0.653,100.001
105,"sentimental","6HbXhn1ozap6E7PxtdzaZ0","Bedhead (feat. Anna Clendening)","Shoffy",7,1,0.588,0.667,0.544,0.0664,0.0628,-7.3839999999999995,0.0575,0.7170000000000001,78.04
106,"energizing","6i3kIF4sosXFhkoSLMV7bP","Inner Smile","Texas",0,1,0.0268,0.574,0.843,2.32e-06,0.114,-5.7170000000000005,0.039,0.644,106.009
